GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.util,BigNumberUtils,139,187,2,10,21,28,23,31,21,27
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.enums,MirPot,0,15,0,0,0,2,0,1,0,1
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.constants,RewardConstants,3,43,0,0,1,11,1,1,1,1
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation,TreasuryCalculation,28,206,8,16,10,53,8,9,1,4
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation,EpochCalculation,57,367,7,25,18,89,8,12,1,3
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation,DepositsCalculation,19,0,0,0,6,0,2,0,2,0
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation,PoolRewardsCalculation,19,395,5,33,7,106,6,21,1,7
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,ProtocolParameters.ProtocolParametersBuilder,12,42,0,0,0,1,1,7,1,7
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,MirCertificate,13,17,0,0,2,4,2,5,2,5
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,Reward,15,25,0,0,2,5,4,5,4,5
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,TreasuryCalculationResult.TreasuryCalculationResultBuilder,12,42,0,0,0,1,1,7,1,7
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,PoolRewardCalculationResult,37,120,0,0,7,10,11,21,11,21
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,PoolRewardCalculationResult.PoolRewardCalculationResultBuilder,82,62,0,0,0,1,11,7,11,7
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,Delegator,13,17,0,0,2,4,2,5,2,5
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,AdaPots.AdaPotsBuilder,26,46,0,0,0,1,3,7,3,7
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,EpochCalculationResult.EpochCalculationResultBuilder,42,57,0,0,0,1,5,8,5,8
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,PoolState,46,84,0,0,3,13,3,24,3,24
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,Epoch.EpochBuilder,12,42,0,0,0,1,1,7,1,7
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,TreasuryCalculationResult,23,37,0,0,2,7,6,7,6,7
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,MirCertificate.MirCertificateBuilder,27,0,0,0,1,0,5,0,5,0
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,PoolBlock,30,0,0,0,6,0,7,0,7,0
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,PoolUpdate.PoolUpdateBuilder,90,0,0,0,1,0,12,0,12,0
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,PoolState.PoolStateBuilder,117,0,0,0,1,0,15,0,15,0
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,EpochCalculationResult,25,82,0,0,7,5,8,14,8,14
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,PoolBlock.PoolBlockBuilder,27,0,0,0,1,0,5,0,5,0
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,Delegator.DelegatorBuilder,27,0,0,0,1,0,5,0,5,0
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,Epoch,19,41,0,0,1,8,5,8,5,8
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,ProtocolParameters,23,53,0,0,2,7,6,7,6,7
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,AdaPots,46,34,0,0,7,4,13,4,13,4
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,PoolUpdate,100,0,0,0,13,0,21,0,21,0
cf-rewards-validation/cf-rewards-calculation,org.cardanofoundation.rewards.calculation.domain,Reward.RewardBuilder,8,28,0,0,0,1,1,5,1,5
